x1,x2,x3,x4,y_predsr,y_test,y_pred
5.8,4.0,1.2,0.2,2.0539660725729236,2,2
5.1,2.5,3.0,1.1,2.2250450520778617,3,2
6.6,3.0,4.4,1.4,2.004796442567158,3,2
5.4,3.9,1.3,0.4,1.8617328107248012,2,2
7.9,3.8,6.4,2.0,1.255340126445085,1,1
6.3,3.3,4.7,1.6,1.5336917346838153,3,2
6.9,3.1,5.1,2.3,1.3333720492063392,1,1
5.1,3.8,1.9,0.4,1.8176011465152655,2,2
4.7,3.2,1.6,0.2,2.306830953185708,2,2
6.9,3.2,5.7,2.3,1.2282569461374568,1,1
5.6,2.7,4.2,1.3,2.017242267824405,3,2
5.4,3.9,1.7,0.4,1.84132391209943,2,2
7.1,3.0,5.9,2.1,1.570008751807491,1,2
6.4,3.2,4.5,1.5,1.719874311487861,3,2
6.0,2.9,4.5,1.5,1.8260194816772652,3,2
4.4,3.2,1.3,0.2,2.234117555752432,2,2
5.8,2.6,4.0,1.2,2.2327648684292187,3,2
5.6,3.0,4.5,1.5,1.634157631343367,3,2
5.4,3.4,1.5,0.4,2.2240371370662437,2,2
5.0,3.2,1.2,0.2,2.415259923213383,2,2
5.5,2.6,4.4,1.2,2.1243358984015432,3,2
5.4,3.0,4.5,1.5,1.5754775837418307,3,2
6.7,3.0,5.0,1.7,1.7871140727505697,3,2
5.0,3.5,1.3,0.3,2.1145160846047975,2,2
7.2,3.2,6.0,1.8,1.6616520863695647,1,2
5.7,2.8,4.1,1.3,1.9771827611506907,3,2
5.5,4.2,1.4,0.2,1.8067380415962828,2,2
5.1,3.8,1.5,0.3,1.9101463937004033,2,2
6.1,2.8,4.7,1.2,2.1360658569754727,3,2
6.5,3.0,5.2,2.0,1.5018205301570484,1,2
6.1,3.0,4.6,1.4,1.8478918742506312,3,2
7.7,3.0,6.1,2.3,1.5915717481798817,1,2
5.6,2.5,3.9,1.1,2.325825149174617,3,2
6.4,2.8,5.6,2.1,1.528938769432794,1,2
5.8,2.8,5.1,2.4,1.1620007042305995,1,1
5.3,3.7,1.5,0.2,2.1154645449925313,2,2
5.5,2.3,4.0,1.3,2.296113713859625,3,2
5.2,3.4,1.4,0.2,2.314732011240583,2,2
